T_K T_C MSFL_mol P3c1_mol
946.15 673 506340 232.3100
947.15 674 506330 223.9800
948.15 675 506310 215.6300
949.15 676 506300 207.2500
950.15 677 506290 198.8500
951.15 678 506270 190.4300
952.15 679 506260 181.9800
953.15 680 506250 173.5000
954.15 681 506230 165.0100
955.15 682 506220 156.4800
956.15 683 506210 147.9200
957.15 684 506190 139.3500
958.15 685 506180 130.7500
959.15 686 506170 122.1200
960.15 687 506160 113.4800
961.15 688 506140 104.8000
962.15 689 506130 96.1000
963.15 690 506120 87.3750
964.15 691 506110 78.6240
965.15 692 506100 69.8480
966.15 693 506090 61.0470
967.15 694 506080 52.2190
968.15 695 506060 43.3660
969.15 696 506050 34.4880
970.15 697 506040 25.5850
971.15 698 506030 16.6550
972.15 699 506020 7.6991
973.15 700 506010 0.0000
974.15 701 505990 0.0000
975.15 702 505980 0.0000
