T_K T_C MSFL_mol P3c1_mol
946.15 673 506340 237.0500
947.15 674 506330 228.7300
948.15 675 506320 220.3700
949.15 676 506300 212.0000
950.15 677 506290 203.6000
951.15 678 506270 195.1900
952.15 679 506260 186.7400
953.15 680 506250 178.2600
954.15 681 506240 169.7600
955.15 682 506220 161.2400
956.15 683 506210 152.6900
957.15 684 506200 144.1100
958.15 685 506180 135.5100
959.15 686 506170 126.8900
960.15 687 506160 118.2400
961.15 688 506150 109.5600
962.15 689 506140 100.8600
963.15 690 506120 92.1380
964.15 691 506110 83.3880
965.15 692 506100 74.6120
966.15 693 506090 65.8020
967.15 694 506080 56.9740
968.15 695 506070 48.1210
969.15 696 506060 39.2430
970.15 697 506050 30.3380
971.15 698 506040 21.4070
972.15 699 506020 12.4400
973.15 700 506010 3.4580
974.15 701 506000 0.0000
975.15 702 505980 0.0000
